ANSWER,CLUE
BARDA,FIÇICI KESERİ
BAREM,MEMUR MAAŞ ÇİZELGESİ
BARET,GENELLİKLE İŞÇİLERİN GİYDİĞİ KORUYUCU BAŞLIK
BARET,GENELLİKLE İŞÇİLERİN GİYDİĞİ KORUYUCU BAŞLIK.
BARET,KORUYUCU BAŞLIK
BARET,KORUYUCU BİR BAŞLIK
BARFİKS,BİR JİMNASTİK ARACI
BARK,"EV HALKI, ÇOLUK ÇOCUK"
BARK,ORTA ASYA’DA ESKİ TÜRK MEZARLARININ ÜZERİNDEKİ TÜRBE TÜRÜ YAPILARA VERİLEN AD
BARKA,BÜYÜK SANDAL
BARKOD,ELEKTRONİK ETİKET
BARO,AVUKATLAR BİRLİĞİ
BARO,AVUKATLARIN BAĞLI OLDUĞU
BARO,AVUKATLARIN BAĞLI OLDUĞU KURULUŞ
BARO,AVUKATLARIN BAĞLI OLDUĞU MESLEK KURULUŞU
BARO,AVUKATLARIN MESLEK ÖRGÜTÜ
BAROMETRE,BASINÇ ÖLÇER
BAROMETRE,BASINÇÖLÇER
BAROMETRE,"HAVA BASINCINI VE DOLAYISIYLA BİR YERİN YÜKSEKLİĞİNİ ÖLÇEN ALET, BASINÇ ÖLÇER"
BARİ,KEŞKE
BARİ,İTALYA’DA BİR KENT
BARİKAT,YOLA YAPILAN ENGEL
BARİZ,"BELİRGİN, AÇIK"
BARİZ,"KESİN, BELİRGİN"
BAS,EN KALIN ERKEK SESİ
BASAK,HALK DİLİNDE MERDİVEN
BASAK,MERDİVEN (HALK AĞZI)
BASAMAK,"DERECE, AŞAMA"
BASAMAK,"DERECE, AŞAMA, KERTE"
BASAR,MERDİVENİN AYAKLA BASILAN YÜZEYİ
BASE,KISA BACAKLI KÖPEK CİNSİ
BASEN,BEL VE KALÇA ARASI
BASKİL,ELAZIĞ İLÇESİ
BASMA,BİR İSKAMBİL OYUNU
BASMA,"DESENLİ, PAMUKLU KUMAŞ"
BASMA,PAMUKLU KUMAŞ
BASİL,FESLEĞEN
BASİL,ÇOMAK BİÇİMİNDE BAKTERİ
BASİRET,SAĞGÖRÜ
BAT,BİR TAKOZ TÜRÜ
BAT,BİR TÜR TAKOZ
BAT,UCU SİVRİ BİR TAKOZ TÜRÜ
BAT,ŞİMŞİRDEN BORU AÇMA TAKOZU
BATAK,BİR İSKAMBİL OYUNU
BATAK,ÇAMURLAŞMIŞ TOPRAK
BATAR,ZATÜREE
BATAR,ZATÜRRE
BATAR,ZATÜRREE
BATERİ,ORKESTRADA VURMALI ÇALGILAR TAKIMI
BATERİ,"ORKESTRADA, DAVUL"
BATERİ,VURMALI ÇALGI TAKIMI
BATI,ANAYÖNLERDEN BİRİ
BATI,DOĞU KARŞITI
BATI,GARP
BATIL,BOŞ İNANÇ
BATIL,"BOŞ, ÇÜRÜK, YANLIŞ"
BATIL,İNANÇLAR BAKIMINDAN GERÇEK OLMAYAN
BATMA,İFLAS ETME
BATMAN,BİR İLİMİZ
BATTAL,ALIŞILMIŞ OLANDAN BÜYÜK
BAV,HAYVANI AVCILIĞA ALIŞTIRMA
BAY,ADAM
BAY,ERKEK
BAYATİ,TÜRK MÜZİĞİNDE BİR MAKAM
BAYATİBUSELİK,"BAYATİ MAKAMININ, BUSELİKLE TAMAMLANMASI"
BAYATİBUSELİK,KLASİK TÜRK MÜZİĞİ MAKAMI
BAYLA,"VARLIKLI, REFAH İÇİNDE"
BAYLA,"VARLIKLI, REFAH İÇİNDE OLAN"
BAYİ,BAZI MADDELERİ SATMA İZNİ OLAN DÜKKAN
BAYİ,"BELİRLİ MADDELERİ SATMA İZNİ OLAN KİMSE, DÜKKAN YA DA KURULUŞ"
BAYİ,DÜKKÂN VEYA KURULUŞ
BAYİ,SATICI
BAYİ,ÜRÜN SATMA İZNİ OLAN DÜKKAN
BAZ,BİR ASİTLE BİRLEŞİNCE BİR TUZ OLUŞTURAN MADDE
BAZ,"MECAZEN, TABAN"
BAZ,TEMEL
BAZA,MOBİLYA KASASI
BAZA,YATAĞIN BOŞ BÖLMESİ
BAZA,YATAĞIN YERDEN YÜKSEK OLMASINI SAĞLAYAN YA DA SANDIK OLARAK KULLANILAN BOŞ BÖLMESİ.
BAZI,"BİRTAKIM, KİMİ"
BAZUKA,ROKET ATAR
BAZUKA,ROKETATAR
BAZİLİKA,KRAL SARAYI
BAÇ,HARAÇ
BAÇ,OSMANLI'DA GÜMRÜK VERGİSİ
BAÇ,"ZORLA ALINAN PARA, HARAÇ"
BAĞ,ASMALIK
BAĞ,ÜZÜM BAHÇESİ
BAĞA,DENİZ KAPLUMBAĞASININ KABUĞU
BAĞA,KAPLUMBAĞA KABUĞU
BAĞCI,ÜZÜM YETİŞTİREN
BAĞDAŞTIRMA,BAĞDAŞTIRMAK İŞİ
BAİRE,SÜRÜLMEMİŞ SERT TOPRAK
BAŞ,"SER, KAFA"
BAŞARI,MUVAFFAKİYET
BAŞKA,"BİLİNENDEN AYRI, FARKLI, ÖZGE"
BAŞKA,"BİLİNENDEN AYRI, FARKLI,ÖZGE"
BDT,BAĞIMSIZ DEVLETLER TOPLULUĞU
BE,BERİLYUM (SİMGE)
BE,BERİLYUM (SİMGESİ)
BE,BERİLYUM SİMGESİ
BE,BERİLYUM'UN SİMGESİ
BEBEK,ÇOCUKLARIN OYNADIĞI OYUNCAK
BEBEK,ÇOCUKLARIN OYNADIĞI OYUNCAK?
BECERİ,"USTALIK, MAHARET"
BEDAVA,"KARŞILIKSIZ, PARASIZ"
BEDAYİ,GÜZEL VE FAYDALI ŞEYLER
BEDDUA,İLENME
BEDDUA,"İLENME, İLENÇ, AH"
BEDEL,BİR ŞEYİN YERİNİ TUTAN KARŞILIK
BEDEL,"DEĞER, FİYAT"
BEDEL,"FİYAT, KIYMET, DEĞER"
BEDEVİ,ÇÖLDE YAŞAYAN GÖÇEBE
BEDNAM,ADI KÖTÜYE ÇIKMIŞ KİMSE
BEDNAM,"KÖTÜ ÜN KAZANAN, KÖTÜLÜĞÜ İLE DİLLERE DÜŞEN"
BEGÜM,HİNT PRENSESİ
BEHER,HER BİR
BEJ,BİR RENK
BEK,FUTBOLDA SAVUNMA OYUNCUSU
BEK,HAVAGAZI LAMBASININ UCU
BEK,SAVUNMA OYUNCUSU
BEKA,KALICILIK
BEKA,"KALICILIK, ÖLMEZLİK"
BEKA,"KALICILIK, ÖLÜMSÜZLÜK"
BEKA,ÖLÜMSÜZLÜK
BEKAR,EVLENMEMİŞ KİMSE
BEKAR,EVLENMEMİŞ OLAN
BEKÇİ,KORUMA GÖREVLİSİ
BEKİLLİ,DENİZLİ İLÇESİ
BEKİLLİ,DENİZLİ'NİN BİR İLÇESİ
BEL,BİR TARIM ALETİ
BEL,"BİR TARIM ALETİ, GEMİNİN ORTA BÖLÜMÜ"
BEL,DAĞ SIRTLARINDA GEÇİT VEREN
BEL,DAĞ SIRTLARINDA GEÇİT VEREN ÇUKUR
BEL,DAĞ SIRTLARINDA GEÇİT VEREN ÇUKUR YER
BELA,HAK EDİLEN CEZA
BELA,SAKINCALI DURUM
BELAGAT,RETORİK
BELAGAT,SÖZLE İNANDIRMA YETENEĞİ
BELAGAT,İYİ KONUŞMA
BELEN,DAĞ GEÇİDİ
BELEN,HATAY İLÇESİ
BELEN,HATAY'IN BİR İLÇESİ
BELGİT,SENET
BELKİ,"OLABİLİR Kİ, MUHTEMEL OLARAK"
BELKİ,"OLABİLİR, MUHTEMEL OLARAK"
BELLEK,HAFIZA
BELLİ,"BİLİNMEDİK BİR YANI OLMAYAN, MALUM"
BELLİ,MALUM
BELİRTİ,"ALAMET, NİŞAN"
BELİRTİ,EMARE
BEMOL,BİR NOTA İŞARETİ
BEN,EGO
BEN,KUŞUN YAVRUSUNA TAŞIDIĞI YEM
BEN,TEKİL BİRİNCİ KİŞİ
BEN,"TENDE BULUNAN UFAK LEKE, KABARTI"
BENEK,KÜÇÜK LEKE VEYA NOKTA
BENEK,"PUAN, NOKTA"
BENEKLİ,BENEKLERİ BULUNAN
BENEKLİ,UFAK LEKELERİ BULUNAN
BENSUSORAL,RESİMDEKİ OYUNCU
BENT,KÜÇÜK BARAJ
BENT,SU AKINTISINI KESMEK İÇİN YAPILMIŞ SET
BENİBEŞER,İNSAN
BENİN,AFRİKADA BİR ÜLKE
BENİN,AFRİKA’DA BİR ÜLKE
BER,ÇOK PARLAK
BERAAT,AKLANMA
BERAT,BİR BULUŞUN VE KULLANIM HAKKININ KİME AİT OLDUĞUNU GÖSTEREN BELGE
BERAT,PATENT
BERAYA,ESKİ DİLDE HALK
BERBER,SAÇ VE SAKAL KESİMİ YAPAN
BERE,SİPERSİZ BAŞLIK
BEREKET,"BOLLUK, FEYEZAN"
BEREKET,"BOLLUK, GÜRLÜK"
BERENSAAT,RESİMDEKİ OYUNCU
BERK,SAĞLAM
BERK,"SERT, KATI"
BERK,‘İLHAN ...’ (UNUTULMAZ ŞAİR)
BERKAYATEŞ,RESİMDEKİ OYUNCU
BERKOKTAY,RESİMDEKİ OYUNCU
BERLİN,ALMANYA BAŞKENTİ
BERLİN,ALMANYANIN BAŞKENTİ
BERLİN,ALMANYA’NIN BAŞKENTİ
BERN,İSVİÇRE'NİN BAŞKENTİ
BERN,İSVİÇRENİN BAŞKENTİ
BERN,İSVİÇRE’NİN BAŞKENTİ
BERRAK,"DURU, TEMİZ"
BERRİNARISOY,RESİMDEKİ OYUNCU
BERİBERİ,B VİTAMİNİ EKSİKLİĞİNDEN İLERİ GELEN BİR HASTALIK
BERİBERİ,B VİTAMİNİ EKSİKLİĞİNDEN İLERİ GELEN HASTALIK
BERİBERİ,BİR HASTALIK
BERİLKAYAR,RESİMDEKİ OYUNCU
BESA,ARNAVUT YEMİNİ
BESNİ,ADIYAMAN İLÇESİ
BESNİ,ADIYAMAN'IN BİR İLÇESİ
BESTE,ESERİ OLUŞTURAN EZGİLER
BESTE,SÖZLERE MÜZİK EKLEYEREK YAPILAN MÜZİK ESERİ
BESİ,"BESLEME, SEMİRTME"
BET,"YÜZ, ÇEHRE, BENİZ"
BETA,BİR IŞIMA ADI (FİZİK)
BETA,BİR TÜR SÜS BALIĞI
BETER,DAHA KÖTÜ
BETİ,FİGÜR
BETİ,RESİM VE HEYKEL SANATLARINDA VARLIKLARIN BİÇİMİ
BETİ,RESİM VE HEYKEL SANATLARINDA VARLIKLARIN BİÇİMİ -
BETİK,"TEZKERE, PUSULA"
BEY,ERKEK ADLARINDAN SONRA KULLANILAN SAYGI SÖZÜ
BEY,"İSKAMBİLDE BİRLİ, AS"
BEYANAT,"BİLDİRİ, DEMEÇ"
BEYANAT,DEMEÇ
BEYANAT,"DEMEÇ, BİLDİRİ"
BEYAZ,BİR RENK
BEYGİR,AT
BEYLİKOVA,ESKİŞEHİR İLÇESİ
BEYLİKOVA,ESKİŞEHİR'İN BİR İLÇESİ
BEYTÜŞŞEBAP,ŞIRNAK'IN BİR İLÇESİ
BEZ,BİR DOKUMA CİNSİ
BEZ,PAMUKTAN DÜZ DOKUMA
BEZ,ÇAPUT
BEZE,"HAMUR TOPAĞI, PAZI"
BEZEK,SÜS
BEZEK,"SÜS, ZİYNET"
BEZEME,SÜSLEME
BEZİR,KETEN TOHUMU
BEÇE,ESİR ÇOCUK
BEİS,"ENGEL, UYMAZLIK"
BEİS,"ENGEL, UYMAZLIK."
BEŞ,BİR SAYI
BEŞERİ,"İNSANA AİT OLAN, İLAHÎ OLMAYAN"
BEŞERİ,İNSANOĞLU İLE İLGİLİ
BEŞİKTAŞ,İSTANBUL İLÇESİ
BG,BULGARİSTANIN PLAKA İŞARETİ
BG,BULGARİSTAN’IN PLAKA İŞARETİ
BG,BULGARİSTAN’IN PLAKASI
BH,BELİZE PLAKASI
BH,BOHRİYUMUN SİMGESİ
BIÇAK,MUTFAKTA KULLANILAN KESİCİ ALET?
BJK,BEŞİKTAŞ JİMNASTİK KULÜBÜ (KISALTMA)
BK,BERKELYUM (SİMGESİ)
BK,BERKELYUM SİMGESİ
BK,BERKELYUMUN SİMGESİ
BKZ,BAKINIZ (KISACA)
BL,BELARUS PLAKASI
BL,BÖLÜK (KISACA)
BLASTULA,MORULA (BİYOLOJİ)
BLAZER,KRUVAZE SPOR CEKET
BLAZER,LACİVERT KUMAŞTAN VEYA GRİ FLANELDEN YAPILMA DÜZ VEYA KRUVAZE SPOR CEKET
BLOK,KOCAMAN VE AĞIR KİTLE
BLOK,KOCAMAN VE AĞIR KİTLE.
BLOK,VOLEYBOLDA BİR OYUN
BLOKE,KULLANILMASI ÖNLENMİŞ
BLOKE,"KULLANILMASI ÖNLENMİŞ, EL KONULMUŞ"
BLUM,BİR TÜR İSKAMBİL OYUNU
BLUM,BİR İSKAMBİL OYUNU
BLUZ,BİR KADIN GİYSİSİ
BLUZ,KADINLARIN GİYDİĞİ ÜST GİYSİ
BLÖF,ALDATICI TAVIR
BLÖF,ALDATMA TAVIR
BM,BİRLEŞMİŞ MİLLETLER
BN,BRUNEİ ÜLKE KODU
BO,SÜMERLERDE SAĞLIK TANRIÇASI
BOA,BOYUN KÜRKÜ
BOA,ZEHİRSİZ İRİ BİR YILAN
BOA,ÇOK İRİ ZEHİRSİZ BİR YILAN
BOA,İRİ BİR YALAN
BOB,‘... DYLAN’ (ŞARKICI)
BOBİN,MAKARA
BOCA,GEMİNİN RÜZGAR ALMAYAN YANI
BODUR,"KISA BOYLU, BASIK"
BOHEM,"DERBEDER, BAŞIBOŞ YAŞAYIŞ"
BOKS,YUMRUK OYUNU
BOKS,İKİ KİŞİ ARASINDA ELLE YAPILAN DÖVÜŞ SPORU
BOL,"ALIŞILANDAN ÇOK, KIT KARŞITI"
BOL,KIT KARŞITI
BOL,"ÖZEL BİR CAM KAP İÇİNDE LİKÖR, ŞARAP, MEYVE VE MADEN SUYU KARIŞTIRILARAK HAZIRLANAN İÇKİYE VERİLEN AD"
BOLERO,AĞIR RİTİMLİ BİR İSPANYOL DANSI
BOLERO,KISA KADIN CEKETİ
BOLU,BİR İLİMİZ
BOLİÇE,YAHUDİ KADINI
BOMBE,KABARIKLIK
BONE,BİR TÜR BAŞLIK
BONE,BİR TÜR ŞAPKA
BONE,SUDA GİYİLEN BAŞLIK
BONE,YÜZÜCÜ BAŞLIĞI
BONMARŞE,BÜYÜK MAĞAZA
BONSAİ,BODUR AĞAÇ
BOR,NİĞDE İLÇESİ
BOR,"İŞLENMEMİŞ, EKİLMEMİŞ TOPRAK"
BORA,SERT VE GEÇİCİ YEL
BORAKS,SODYUM TUZU
BORANİ,PİRİNÇLİ SEBZE YEMEĞİ
BORNOVA,İZMİR İLÇESİ
BORNOVA,İZMİR'İN BİR İLÇESİ
BOT,KÜÇÜK GEMİ
BOT,KÜÇÜK SANDAL
BOT,UZUN KONÇLU AYAKKABI
BOT,"UZUN KONÇLU, KAPALI AYAKKABI"
BOT,"UZUNKONÇLU, KAPALI AYAKKABI"
BOY,"KABİLE, KLAN"
BOYA,ALDATICI GÖRÜNÜŞ (MECAZ)
BOYA,NESNELERİN YÜZEYİNE RENK VEREN MADDE
BOYA,REK VEREN MADDE
BOYA,RENK VEREN MADDE
BOYABAT,SİNOP İLÇESİ
BOYLU,BOYU BENZERLERİNDEN UZUN OLAN
BOZ,AÇIK TOPRAK RENGİ
BOZ,"KÜL RENGİ, GRİ"
BOZA,TAHILLA YAPILAN TATLI İÇECEK
BOZKIR,KONYA İLÇESİ
BOZKIR,KONYA'NIN BİR İLÇESİ
BOZOVA,ŞANLIURFA İLÇESİ
BOZOVA,ŞANLIURFA'NIN BİR İLÇESİ
BOŞ,DOLU KARŞITI
BR,BREZİLYA’NIN PLAKA İŞARETİ
BR,BROM (SİMGE)
BR,BROM SİMGESİ
BRAD,‘... PİTT’ (AKTÖR)
BRAK,KISA TÜYLÜ BİR AV KÖPEĞİ CİNSİ
BRANDA,SU GEÇİRMEZ KALIN BEZ
BRANÇ,KUŞLUK YEMEĞİ
BRANÇ,SABAHLA ÖĞLE ARASI YEMEĞİ
BRANŞ,"DAL, KOL, ALAN"
BRANŞ,"KOL, DAL"
BRANŞ,"KOL, DAL, ŞUBE"
BRAVO,AFERİN
BRAVO,"YAŞA, VAR OL"
BRE,"EY, HEY"
BRE,"‘EY, HEY’ ANLAMINDA ÜNLEM"
BREŞ,BİR TÜR YAPAY MERMER
BREŞ,BİR ÇAKIL TAŞI TÜRÜ
BREŞ,YAPAY MERMER
BRN,BAHREYNİN PLAKA İŞARETİ
BRN,BAHREYN’İN PLAKA İŞARETİ
BROKER,BORSA SİMSARI
BROKOLİ,BİR SEBZE
BROKOLİ,KÜÇÜK YEŞİL YUMRULAR HALİNDEKİ SEBZE
BROM,ZEHİRLİ SIVI BİR ELEMENT
BRONZ,BİR ALAŞIM
BROŞ,SÜS İĞNESİ
BRÖVE,DİPLOMA
BRÖVE,"DİPLOMA, ŞAHADETNAME"
BRÖVE,PİLOT YETERLİK BELGESİ
BRÜKSEL,BELÇİKA'NIN BAŞKENTİ
BRÜKSEL,BELÇİKANIN BAŞKENTİ
BRÜKSEL,BELÇİKA’NIN BAŞKENTİ
BRÜT,KESİNTİSİZ PARA
BRİK,TOP TAŞIYAN GEMİ
BRİK,"İKİ DİREKLİ, SEREN YELKENLİ, BİRKAÇ TOP TAŞIYAN GEMİ"
BRİKET,BİR YAPI MALZEMESİ
BRİKET,"LİNYİT, KÖMÜR TOZU VE KATRAN TORTUSUNDAN BASINÇLA ELDE EDİLEN, TUĞLA BİÇİMLİ YAPI MALZEMESİ"
BRİKET,TUĞLA BİÇİMLİ YAPI MALZEMESİ
BRİT,BİR DÜĞMEYİ YADA KOPÇAYI TUTMAYA YARAYAN HALKACIK
BRİT,KOPÇA HALKASI
BSE,TIPTA DELİ DANA HASTALIĞININ KISA YAZILIŞI
BU,BİR İŞARET SIFATI
BU,ESKİ DİLDE KOKU
BU,İŞARET ZAMİRİ
BUAT,ELEKTRİK KUTUSU
BUBİ,BOMBA TUZAĞI
BUCA,İZMİR İLÇESİ
BUCAK,BURDUR İLÇESİ
BUCAK,NAHİYE
BUKET,ÇİÇEK DEMETİ
BUKET,‘... UZUNER’ (YAZAR)
BUKETUZUNER,ÜNLÜ BİR YAZAR
BUL,BİR TÜR TAHTA
BUL,IKİ GENİŞ YÜZÜ TESTERE İLE DÜZELTİLMİŞ TAHTA
BULA,HALK DİLİNDE YENGE ANLAMINDA KULLANILAN SÖZCÜK
BULAMA,BİR TÜR KOYU PEKMEZ
BULAMA,KOYU PEKMEZ
BULANCAK,GİRESUN İLÇESİ
BULANCAK,GİRESUN'UN BİR İLÇESİ
BUN,SIKINTI
BUN,SIKINTILI
BUNALTI,"SIKINTI, İÇ SIKINTISI"
BURAK,.....ÖZÇİVİT' (AKTÖR)
BURAK,CENNETE MAHSUS BİR BİNEK
BURAK,‘... SERGEN’ (AKTÖR)
BURAKDENİZ,RESİMDEKİ OYUNCU
BURAKÖZÇİVİT,RESİMDEKİ OYUNCU
BURCUÖZBERK,RESİMDEKİ OYUNCU
BURDUR,BİR İLİMİZ
BURHANİYE,BALIKESİR'İN BİR İLÇESİ
BURS,ÖĞRENCİ YARDIMI
BURS,ÖĞRENİM PARASI
BURSA,BİR İLİMİZ
BURU,DOĞUM SANCISI
BURU,HALK DİLİNDE SANCI
BURÇ,KALE KULESİ
BUSEMERAL,RESİMDEKİ OYUNCU
BUSEVAROL,RESİMDEKİ OYUNCU
BUYOT,SICAK SU TORBASI
BUZ,DONARAK KATI DURUMA GELMİŞ SU
BUZ,DONARAK KATI HÂLE GELMİŞ SU
BUZUKİ,YUNAN ÇALGISI
BUĞRAGÜLSOY,RESİMDEKİ OYUNCU
BUĞU,SU BUHARI
BÖBÜRLENMEK,KENDİNİ BEĞENMİŞ BİR TAVIRLA ÖVÜNMEK
BÖKE,"KAHRAMAN, GÜÇLÜ KİMSE"
BÖKE,ŞAMPİYON
BÖRK,BİR BAŞLIK TÜRÜ
BÖRK,HAYVAN POSTUNDAN BAŞLIK
BÜK,BÖĞÜRTLEN
BÜK,"BÖĞÜRTLEN, DİKEN DUTU, İT ÜZÜMÜ"
BÜK,DÖNEMEÇ
BÜRO,"OFİS, İŞ YAPILAN ODA VEYA YER"
BÜRO,YAZIHANE
BÜST,BİR HEYKEL TÜRÜ
BÜTÜN,"EKSİKSİZ, TAM"
BÜTÜNLEŞMEK,"BİR BÜTÜN HALİNE GELMEK, BİRLEŞMEK"
BÜZ,BETONDAN KALIN SU BORUSU
BÜZ,KÜNK
Bİ,BİR OLUMSUZLUK ÖNEK
Bİ,BİZMUT (SİMGE)
Bİ,BİZMUT (SİMGESİ)
Bİ,BİZMUT ELEMENTİNİN SİMGESİ
Bİ,BİZMUT SİMGESİ
Bİ,BİZMUT'UN SİMGESİ
Bİ,BİZMUTUN SİMGESİ
Bİ,BİZMUT’UN SİMGESİ
BİAT,EGEMENLİĞİNİ TANIMA
BİAT,SEÇİM VEYA BAĞLILIK KARAKTERİ TAŞIYAN SOSYOPOLİTİK AKİD
BİBER,ACI VEYA TATLI OLABİLEN BİR SEBZE
BİBLO,SÜS EŞYASI
BİBLO,"ÇEŞİTLİ MADENLERDEN YAPILAN HEYKEL, VAZO VB. ZARİF, KÜÇÜK SÜS EŞYASI."
BİBİ,"BABANIN KIZ KARDEŞİ,"
BİBİ,"BABANIN KIZ KARDEŞİ, HALA"
BİBİ,HALA
BİBİ,HALK DİLİNDE HALA
BİDAT,İSLAM'DA HAZRETİ MUHAMMET’TEN SONRA ORTAYA ÇIKAN DEĞİŞİK YARGILAR VE İLKELER
BİENAL,"YIL AŞIRI, İKİ YILDA BİR"
BİENAL,YILAŞIRI
BİENAL,"YILAŞIRI, İKİ YILDA BİR"
BİGA,ÇANAKKALE İLÇESİ
BİGA,ÇANAKKALE'NİN BİR İLÇESİ
BİGANE,YABANCI
BİGANE,İLGİSİZ
BİK,BASIN İLAN KURUMU
BİKARAR,KARARSIZ
BİKES,KİMSESİZ
BİLAHARE,DAHA SONRA
BİLAHARE,"SONRADAN, SONRALARI"
BİLAKİS,TAM TERSİNE
BİLAKİS,"TERSİNE, AKSİNE"
BİLGİ,MALUMAT
BİLYE,MİSKET
BİLİŞİM,BİLGİNİN SAKLANMASI VE ÜRETİLMESİNİ KONU ALAN AKADEMİK VE MESLEKİ DİSİPLİNİ
BİLİŞİM,ENFORMATİK
BİM,ESKİ DİLDE KORKU
BİMANA,"MANASIZ, ANLAMSIZ"
BİMAR,"HASTA, SAYRI"
BİN,1 KİLOMETRE KAÇ METRE
BİNA,YAPI
BİNAEN,"DEN DOLAYI, DEN ÖTÜRÜ"
BİNAEN,DEN DOLAYI. DEN ÖTÜRÜ ANLAMINDA ESKİ BİR SÖZCÜK
BİNGÖL,BİR İLİMİZ
BİNNURKAYA,RESİMDEKİ OYUNCU
BİNİCİ,ATA BİNEN KİMSE
BİR,BİR SAYI
BİR,SAYILARIN İLKİ
BİR,İLK RAKAM
BİRADER,ERKEK KARDEŞ
BİREY,FERT
BİREY,TOPLUM İÇİNDE TEK OLAN İNSAN
BİRR,ETİYOPYA PARA BİRİMİ
BİRR,ETİYOPYA’NIN PARA BİRİMİ.
BİRİKİM,BİRİKTİRİLEN MAL VEYA PARA
BİRİKİM,"GÖZLEMLER, DENEYLER SONUCU ELDE EDİLMİŞ ŞEYLERİN BÜTÜNÜ, DENEYİM."
BİRİM,ÜNİTE
BİS,BİR MÜZİK PARÇASININ DİNLEYİCİLERİN İSTEĞİ ÜZERİNE BİR KEZ DAHA ÇALINMASI
BİS,İKİNCİ KEZ
BİS,ŞARKIYI TEKRAR SESLENDİRME
BİSKÜVİ,BİR TÜR KURU PASTA
BİSMİL,DİYARBAKIR İLÇESİ
BİSMİL,DİYARBAKIR'IN BİR İLÇESİ
BİT,ASALAK BÖCEK
BİT,ASALAK BİR BÖCEK
BİT,"ASALAK BİR BÖCEK, KEHLE"
BİT,İNSAN VE MEMELİ HAYVANLARIN VÜCUDUNDA ASALAK OLARAK YAŞAYAN BÖCEK
BİTAP,"YORGUN, BİTKİN"
BİTARAF,TARAFSIZ
BİTARAF,"TARAFSIZ, YANSIZ"
BİTEK,VERİMLİ TOPRAK
BİTEK,"VERİMLİ TOPRAK, MÜMBİT"
BİTKİ,TOPRAKTA KÖKLERİYLE BESLENEN YEŞİL CANLILAR
BİTKİSEL,NEBATİ
BİTİRİM,"ARGODA BİLGİLİ, BECERİKLİ"
BİTİRİM,ARGODA ÇOK HOŞA GİDEN (KİMSE)
BİYE,"GENELLİKLE GİYSİNİN YAKA, KOL, ETEK ÇEVRESİNE KENDİ KUMAŞINDAN VEYA BAŞKA KUMAŞTAN GEÇİRİLEN İNCE ŞERİT"
BİYE,İNCE GİYSİ KENARI ŞERİDİ
BİZ,BİR TÜR ÇUVALDIZ.
BİZ,BİR ÇUVALDIZ TÜRÜ
BİZ,ÇOKLUK BİRİNCİ KİŞİYİ GÖSTEREN SÖZ
BİZ,"İĞNEYE YOL AÇMAK İÇİN KULLANILAN, ÇELİKTEN, İNCE VE SİVRİ UÇLU BİR ALET"
BİZZAT,"ARACISIZ, KENDİSİ OLARAK"
BİZZAT,"DOĞRUDAN, ARACISIZ"
BİÇARE,"NAÇAR, ÇARESİZ"
BİÇARE,ÇARESİZ KİMSE
BİÇARE,"ÇARESİZ, ZAVALLI KİMSE"
BİÇKİ,KUMAŞI ÖLÇÜYE GÖRE KESME
BİŞKEK,KIRGIZİSTANIN BAŞKENTİ
BİŞKEK,KIRGIZİSTAN’IN BAŞKENTİ
BİŞİ,"ÇÖREK, TATLI BİR TÜR EKMEK"
BŞK,BAŞKAN (KISACA)
CA,KALSİYUM (SİMGE)
CA,KALSİYUM (SİMGESİ)
CA,KALSİYUM SİMGESİ
CA,KALSİYUM'UN SİMGESİ
CABA,"BİR ŞEY ÖDEMEDEN, PARA VERMEDEN ALINAN ŞEY"
CABA,FAZLADAN
CABA,PARA VERMEDEN ALINAN ŞEY
CAD,KIVIRCIK SAÇ
CADDE,ANA YOL
CADDE,ANAYOL
CADI,BÜYÜCÜ
CAEN,FRANSA’DA BİR KENT
CAFCAF,"GÖSTERİŞ, ŞATAFAT"
CAHİL,BİLGİSİZ
CAHİL,ÖĞRENİM GÖRMEMİŞ
CAHİL,"ÖĞRENİM GÖRMEMİŞ, OKUMAMIŞ"
CAKA,"FİYAKA, ÇALIM"
CAKA,"GÖSTERİŞ, ÇALIM"
CAM,CLUE
CAM,PENCERE
CAM,SIRÇA
CAM,ÇABUK KIRILIR CİSİM
CAMBAZ,AT ALIP SATAN VEYA YETİŞTİREN KİMSE
CAMBAZ,AT SATICISI
CAMEKAN,VİTRİN
CAMİA,BİR ARAYA GELEN İNSANLAR
CAMİA,ORTAK EĞİLİMLERİ NEDENİYLE BİR ARAYA GELEN İNSANLAR
CAN,TARİKAT KARDEŞİ
CAN,‘... YAMAN’ (AKTÖR)
CAN,‘ERKAN ...’ (AKTÖR)
CANA,"""EY SEVGİLİ"" (SESLENME)"
CANA,"""EY SEVGİLİ"" ANLAMINDA KULLANILAN BİR SESLENME SÖZÜ"
CANA,"""EY SEVGİLİ"" ANLAMINDA KULLANILAN SÖZ"
CANA,"""EY SEVGİLİ"" ANLAMINDA SÖZ"
CANAN,GÖNÜLDEN SEVİLEN KADIN
CANAN,SEVGİLİ
CANAN,‘... ERGÜDER’ (AKTRİS)
CANAVAR,MASALARDA SÖZÜ GEÇEN YABANİ
CANAVAR,MASALLARDA GEÇEN HAYVAN
CANAVAR,MASALLARDA SÖZÜ GEÇEN HAYVAN
CANAVAR,"MASALLARDA SÖZÜ GEÇEN YABANİ, YIRTICI HAYVAN"
CANAYAKIN,SICAKKANLI
CANER,"‘... İNEP’ (ŞAİR, YAZAR)"
